issue,mean_absolute_error_azimuth
clipping,7.811638442616213
"clipping, shading",1.5119578359839982
shading,8.559349547282963
"shading, clipping",20.799137461179363
snow,4.024066945302262
soiling,22.4857445590375
"soiling, clipping",9.288250869554835
