issue,mean_absolute_error_tilt
clipping,6.37550477452159
"clipping, shading",1.004870406989145
shading,1.5652318040259576
"shading, clipping",5.329709375641285
snow,4.247184418443414
soiling,0.29993940828921284
"soiling, clipping",2.7031285360765467
