issue,mean_absolute_error_azimuth
clipping,12.120500488549862
"clipping, shading",3.1195518575140557
shading,11.265429768130304
"shading, clipping",22.637253260886087
snow,4.315775358707849
soiling,28.689026697924987
"soiling, clipping",26.546402880262224
