issue,mean_absolute_error_tilt
clipping,1.3043944818876667
"clipping, shading",3.4187712227839926
shading,1.529199964668706
"shading, clipping",1.497258530235365
snow,13.378478244651156
soiling,2.584625804464123
"soiling, clipping",1.8062652031436484
