issue,mean_absolute_error_tilt
clipping,2.301269629806963
"clipping, shading",1.264685792534185
shading,2.674095722572622
"shading, clipping",1.998818254033806
snow,5.626284465966674
soiling,1.0924206476502798
"soiling, clipping",2.0519628772657446
