system_id,name,latitude,longitude,elevation,tracking,azimuth,tilt
4,Sanyo1,39.7406,-105.1774,1795.3,FALSE,180,40
1331,NREL Parking Garage-tilt1,39.7388,-105.1732,1770,FALSE,180,60
1332,NREL Parking Garage-tilt2,39.7388,-105.1732,1770,FALSE,180,16.77
1403,RTC-FSEC-Baseline,28.405,-80.7709,12,FALSE,180,35
4902,NIST_Ground_1,39.1319,-77.2141,138,FALSE,180,20
5016,Crane Schools  Salida del Sol,32.710684,-114.6675958,121,FALSE,180,15
5057,UMMS  Costen CRE,38.097551,-75.608715,16,FALSE,180,20
5061,Vineland North,39.50479,-74.994123,98,FALSE,180,25
5070,Dysart Unified  Shadow Ridge High School,33.5817467,-112.4615022,1280,FALSE,147,12
5081,Dysart Unified  Dysart High School (SES C),33.590635,-112.33999,1112,FALSE,180,12
5099,Peoria  Desert Harbor,33.625383,-112.252494,1181,FALSE,180,13.5
5114,Castaic USD - Live Oak Elementary School,34.4492392,-118.6201877,1040,FALSE,180,7
5129,Keppel  Keppel Academy,34.5284066,-117.9637384,2900,FALSE,180,30
5133,Palmdale Cultural Center,34.577755,-118.115683,2664,FALSE,269,7
5138,Palmdale  Marie Kerr Pool,34.603666,-118.182041,2707,FALSE,180,7
5150,Peoria  Liberty HS,33.6855539,-112.2661668,1296,FALSE,180,13.5
5159,TUSD Mary Meredith ES,32.2312025,-110.8823651,2507,FALSE,180,12
5162,Chaffey - Etiwanda East,34.128339,-117.511124,1375,FALSE,180,7.49
5184,URE Prescott,33.222111,-82.378167,436,FALSE,180,22
5196,TUSD White ES 1,32.1516678,-111.0168228,2464,FALSE,180,12
5222,San Gabriel Washington ES,34.1069508,-118.1036145,0,FALSE,270,7.49
5226,Central - Cucamonga MS,34.1159418,-117.602299,0,FALSE,180,30
5231,Central - Valle Vista ES,34.1148548,-117.6197738,0,FALSE,189,7.49
5242,Saddleback Laguna Hills HS,33.5933833,-117.7019839,0,FALSE,150,7.49
5257,Pomona - Ganesha HS,34.0674631,-117.7882769,0,FALSE,243,7.49
5273,Sulphur Springs District Office,34.4079181,-118.4670982,1403,FALSE,204.5,7.49
5291,Alta Loma Victoria Groves,34.1286731,-117.5660026,0,FALSE,188,7.49
5297,Baltimore City I,39.436888,-76.2161329,0,FALSE,180,25
5308,Evergreen Academy Ave,32.51648,-82.936657,276,FALSE,180,22
5318,URE Georgia Stephens Co. HS,34.553116,-83.29978,781,FALSE,180,22
5324,Hawthorne - Hawthorne MS,33.9148276,-118.3504147,0,FALSE,270,7.49
5328,Hawthorne - York ES,33.9263342,-118.3444883,0,FALSE,270,7.49
5329,Hawthorne - Zela Davis ES,33.9107563,-118.3358501,0,FALSE,90,7.49
5335,Mountain View - Creek View ES,34.0247557,-117.5681449,0,FALSE,203,7.49
5342,Claremont - Claremont HS,34.1129983,-117.7225368,0,FALSE,200,7.49
5345,Claremont - El Roble IS,34.1000246,-117.7291222,0,FALSE,270,7.49
5348,Claremont - San Antonio HS,34.0836998,-117.7153289,0,FALSE,270,7.49
5354,Glendora - Goddard MS,34.1481396,-117.8493741,0,FALSE,195,7.49
5363,Etiwanda - Day Creek IS,34.1539468,-117.5363846,0,FALSE,164,7.49
5372,Etiwanda - Long ES,34.1562874,-117.4859581,0,FALSE,180,7.49
5375,URE Dixon,32.604618,-82.322656,288,FALSE,180,20
5377,Etiwanda - Terra Vista ES,34.1181837,-117.5516621,0,FALSE,134,7.49
5379,Etiwanda - Windrows ES,34.1281703,-117.5299781,0,FALSE,270,7.49
5458,TUSD III - Dietz ES,32.1997354,-110.8308625,2671,FALSE,159,12
