system_id,name,latitude,longitude,elevation,tracking,azimuth,tilt,file_id,file_name,timezone,data_sampling_frequency,issue,number_days
5114,Castaic USD - Live Oak Elementary School,34.4492392,-118.6201877,1040.0,False,180.0,7.0,373,5114_ac_power_inv_2401.csv,Etc/GMT+8,15,clipping,2787
5114,Castaic USD - Live Oak Elementary School,34.4492392,-118.6201877,1040.0,False,180.0,7.0,374,5114_ac_power_inv_2396.csv,Etc/GMT+8,15,clipping,2787
5114,Castaic USD - Live Oak Elementary School,34.4492392,-118.6201877,1040.0,False,180.0,7.0,375,5114_ac_power_inv_2403.csv,Etc/GMT+8,15,clipping,2787
5129,Keppel  Keppel Academy,34.5284066,-117.9637384,2900.0,False,180.0,30.0,376,5129_ac_power_inv_2496.csv,Etc/GMT+8,15,clipping,2710
5129,Keppel  Keppel Academy,34.5284066,-117.9637384,2900.0,False,180.0,30.0,377,5129_ac_power_inv_2493.csv,Etc/GMT+8,15,clipping,2710
5129,Keppel  Keppel Academy,34.5284066,-117.9637384,2900.0,False,180.0,30.0,378,5129_ac_power_inv_2494.csv,Etc/GMT+8,15,clipping,2697
5129,Keppel  Keppel Academy,34.5284066,-117.9637384,2900.0,False,180.0,30.0,379,5129_ac_power_inv_2495.csv,Etc/GMT+8,15,clipping,2696
5129,Keppel  Keppel Academy,34.5284066,-117.9637384,2900.0,False,180.0,30.0,380,5129_ac_power_inv_2492.csv,Etc/GMT+8,15,clipping,2696
5129,Keppel  Keppel Academy,34.5284066,-117.9637384,2900.0,False,180.0,30.0,381,5129_ac_power_inv_2497.csv,Etc/GMT+8,15,clipping,2710
5133,Palmdale Cultural Center,34.577755,-118.115683,2664.0,False,269.0,7.0,382,5133_ac_power_inv_2526.csv,Etc/GMT+8,15,,2657
5133,Palmdale Cultural Center,34.577755,-118.115683,2664.0,False,269.0,7.0,384,5133_ac_power_inv_2523.csv,Etc/GMT+8,15,,2657
5133,Palmdale Cultural Center,34.577755,-118.115683,2664.0,False,269.0,7.0,385,5133_ac_power_inv_2524.csv,Etc/GMT+8,15,,2657
5138,Palmdale  Marie Kerr Pool,34.603666,-118.182041,2707.0,False,180.0,7.0,387,5138_ac_power_inv_2543.csv,Etc/GMT+8,15,clipping,2706
5138,Palmdale  Marie Kerr Pool,34.603666,-118.182041,2707.0,False,180.0,7.0,388,5138_ac_power_inv_2545.csv,Etc/GMT+8,15,clipping,2706
